script	linhas	cobertura	achados	sha256
daz_integration/inspect/export_fbx.dsa	17	Triagem estática/textual		4a7b3819ddc3a36345439a31740e87a70050583107371086631a5dbfd3e2ca59
daz_integration/inspect/export_fbx_tentativas_1a5.dsa	51	Triagem estática/textual		6d278b23591f31a639e029a7d1cf275ca998e477f7b5e80902009caddd2ae624
daz_integration/local_llm.py	44	Triagem estática/textual		811711569db4c3ba4eba92190a335c3cb6d4c8024684e96b1904415ea4d0117b
daz_integration/mcp_server.py	19	Triagem estática/textual		c890ceb6e3ea552459a94758d317d702c394d62556d022507bd89cd361b5598e
daz_integration/runs/daz_character_23ee943f.dsa	18	Triagem estática/textual		bb97ac22a96dda4ea91b1de8855a35c375525f1ec33ef383ac8b34797e8e4565
daz_integration/runs/daz_character_362bcab3.dsa	12	Triagem estática/textual		219b1c071dae504c3b2ce9678b7911bf7d07245b084450393dd809b7cba2020a
daz_integration/runs/daz_character_e8056048.dsa	12	Triagem estática/textual		34feeaebdbe7cd666bb524f2c9f04d4dbddd2fe5c0d2430b0e317f8e45e2e26d
daz_integration/runs/daz_character_ffdc1d8e.dsa	12	Triagem estática/textual		b667771b99a360b9d6798028139f198e22de6b38a45e08d063a1e45276489c0b
daz_integration/runs/full_pipeline/daz_character_5e213044.dsa	12	Triagem estática/textual		fb574462d11823210e030da7457d009ba87810596bde829c4d36fcf8ab32fc2a
daz_integration/runs/load_check/daz_character_e050aa1c.dsa	21	Triagem estática/textual		b464c0d0a510b868bfac638f62972d49a6b2f0b9b18e026f3c341468299cf506
daz_integration/runs/preview_test/daz_character_6f6be7fa.dsa	12	Triagem estática/textual		5f79d96cf01297195cc9397ff034fd2ab95f577a7e24d3113b86284a7a9ac531
daz_integration/runs/test_real/daz_character_8e2231b1.dsa	12	Triagem estática/textual		56353b5694bfa6a972100c654bb5af52e80bf1d53707db59ad04de825bada68f
daz_integration/runs/viewport_test/daz_character_ed04dcea.dsa	18	Triagem estática/textual		42d5e5b415fe61d41df70e950476b3a1fb1c2b47b2725ec1a91e1d717ba550de
daz_integration/start_daz_character.bat	4	Triagem estática/textual		a8422ad7f5ec4cd7de288b8fdb95d0a07833f6c633ee2e9298052f5216dc6cb2
daz_integration/test_run/daz_character_b6695293.dsa	12	Triagem estática/textual		1dbc7840a5e061423e554b95c52757c153b43837a858c74f152f7cbc395ed763
decupagem_ui.py	1756	Triagem estática/textual		14bc97e01c7fc4068ee6f2832d42b391b29c98e0b8f91265e618dc8ccdc2e75d
film_maker_ui_v4.py	607	Triagem estática/textual		43d9f9b5d04191bfc6d83e47958240fb6417a2626eec19bd639005ca24b17976
film_maker_ui_v4_25.py	623	Triagem estática/textual		84003688e4c4c66911188c3edd1d79327d9aa3ea287a8cee1f0496c5668eec6c
generate_sd35.py	187	Triagem estática/textual		18192dfc578e7920b5b6c2adfc0b6f954bf041fea3ec468bf5c39f0c4750a1c6
generate_upscale.ps1	42	Revisão dirigida + triagem	A12,A13	bb22c1aaa714c64e59acf8c4c53ec8261de851f11be27669af7080d090222ed9
gguf_backend.py	478	Triagem estática/textual		85c51915452a7b487926955d343b73ec92423d3c9828ec6d2796110dcc8c2712
hunyuan_worker.py	37	Triagem estática/textual		38694dec262b7cac83398da3a7fbae0dc1f09292cf0d0172b624dee4cc655347
img2threejs_viewer_ui.py	346	Triagem estática/textual		832418b95de504e4a252a82d0ef46022873af52128a17f01435eb85019a65dff
install_character3d.ps1	11	Revisão dirigida + triagem	A12	c15ff1cdfbc31a3b3037e1bb39c1740344b161838ce2651b4f51e20ec8e2a2d4
krea2_test_ui.py	236	Triagem estática/textual		b28e9124eeb880b5daa4d7d3c68e2280c8fcc1a6a946adffb9eacf811344136b
latentsync_syncnet_eval.py	56	Triagem estática/textual		a601f1a2bbc3ad49e40f9ceba0b30dcb52c9c45681b250f5f317b653bc24e052
latentsync_v3_smoke_test.py	30	Triagem estática/textual		efcb80e86716368b1f1afb0b89acd195280fa8401f3f15baebce54313333d58b
longcat_video_backend.py	379	Triagem estática/textual		447d85d33df45a79dc8a8f73a401a8592500f9c7758d5fd0d5c25c443bd1027e
lora_storyboard_backend.py	286	Triagem estática/textual		73ede692811233eb314eb328e42a279b1d67da45d10d55489203d7d1e1f82854
lora_storyboard_encode.py	123	Triagem estática/textual		36fe2b5ad7a5b60d0bc6a6cce3637c654fa69bcaa87b845cbe90c9031c031a1a
lora_storyboard_test_ui.py	164	Triagem estática/textual		d6e2c520a34c3ef623123181bf0ff8f87e534483d08257ac731f6c218f37bd30
ltx25_backend.py	1370	Triagem estática/textual		0525b9560a48c5b1102832655ca0e84e1c25ceea0c0932d1ef86cb6575a599f3
ltx_loras.py	499	Triagem estática/textual		019da68a6de541cc5ddf5ddcbc712d9821adc017aa41a8a3ae563bdf2c9b8784
ltx_pipelines_25.py	215	Triagem estática/textual		981db187ed6c0a4d0ce3a67296da16d0863a888f34b2718a847dc745ef1ec442
mhr_to_smplx.py	119	Triagem estática/textual		080f589dc51a7f5b9d6a0add6b5f17ff2759dce6a2437736845943a0e200a0e8
